width,time_map_us,time_list_us,nodes_in_g
3380,330,444,3381
3390,336,445,3391
3400,314,463,3401
3410,316,452,3411
3420,318,448,3421
3430,319,478,3431
3440,334,560,3441
3450,325,441,3451
3460,324,434,3461
3470,318,428,3471
3480,319,430,3481
3490,299,428,3491
3500,322,428,3501
3510,330,431,3511
3520,308,432,3521
3530,327,541,3531
3540,326,435,3541
3550,335,424,3551
3560,324,429,3561
3570,311,434,3571
3580,330,430,3581
3590,340,422,3591
3600,314,426,3601
3610,327,424,3611
3620,322,539,3621
3630,316,453,3631
3640,357,427,3641
3650,340,417,3651
3660,343,432,3661
3670,327,423,3671
3680,348,415,3681
3690,320,424,3691
3700,318,422,3701
3710,355,422,3711
3720,461,441,3721
3730,351,427,3731
3740,328,429,3741
3750,347,424,3751
3760,338,419,3761
3770,344,428,3771
3780,353,428,3781
3790,340,432,3791
3800,339,422,3801
3810,482,433,3811
3820,350,412,3821
3830,339,426,3831
3840,337,422,3841
3850,351,425,3851
3860,360,418,3861
3870,363,424,3871
3880,359,417,3881
3890,354,415,3891
3900,467,433,3901
3910,373,449,3911
3920,374,443,3921
3930,381,420,3931
3940,359,410,3941
3950,362,416,3951
3960,360,418,3961
3970,372,422,3971
3980,353,525,3981
3990,386,426,3991
4000,373,421,4001
